time,open,high,low,close,volume,fut_close,fut_oi,total_call_oi,total_put_oi,max_call_strike,max_put_strike,fut_oi_change,total_opt_oi,total_opt_oi_change,ret,logret,rv_30,atr14,ema5,ema15,mom30,put_call_ratio_oi,total_oi,total_oi_change,opt_skew_proxy,vol_60
13:46.4,17794.24032,17799.19372,17786.48921,17795.96271,2080,17800.91452,87451,392800,318100,16800,17800,-19600,710900,-2500,-0.000197935,-0.000197954,0.004559562,28.39336452,17797.56262,17831.34405,-0.016831177,0.809826884,710900,-2500,-1000,0.001427314
18:46.4,17786.38313,17811.81062,17785.74146,17793.95033,3140,17794.37455,83499,388600,316500,17000,16800,-3952,705100,-5800,-0.000113081,-0.000113087,0.004460806,28.22735027,17796.35852,17826.66984,-0.014766811,0.814462172,705100,-5800,200,0.001410792
23:46.4,17747.15797,17750.604,17739.38864,17745.93899,2510,17759.05507,124227,398400,324200,16800,16800,40728,722600,17500,-0.002698183,-0.00270183,0.00430785,30.10837469,17779.55201,17816.57848,-0.014011914,0.81375502,722600,17500,0,0.001441537
28:46.4,17728.18281,17734.35349,17718.04815,17731.64393,4700,17743.3309,102153,400800,323700,16000,19350,-22074,724500,1900,-0.00080554,-0.000805865,0.004306495,29.94997953,17763.58265,17805.96166,-0.014699377,0.807634731,724500,1900,-3350,0.001427301
33:46.4,17716.11477,17721.72778,17714.42562,17715.20043,2040,17713.33323,54565,401000,323400,19100,16650,-47588,724400,-100,-0.000927353,-0.000927784,0.004274162,29.0405745,17747.45524,17794.61651,-0.014140641,0.806483791,724400,-100,2450,0.001414472
38:46.4,17744.40665,17752.95639,17742.33904,17746.761,620,17745.45605,124350,404700,323300,18750,19350,69785,728000,3600,0.001781553,0.001779968,0.004410858,29.66310203,17747.22383,17788.63457,-0.013133234,0.798863356,728000,3600,-600,0.001432226
43:46.4,17753.7325,17768.63387,17742.18712,17748.55942,3460,17747.92395,88057,381500,325900,17800,17900,-36293,707400,-20600,0.000101338,0.000101333,0.00442144,29.43336252,17747.66903,17783.62518,-0.012536537,0.854259502,707400,-20600,-100,0.00141833
48:46.4,17707.02078,17723.94551,17680.23044,17685.42868,4330,17693.46787,101334,401100,327100,17800,16600,13277,728200,20800,-0.00355695,-0.003563291,0.004483196,32.21162134,17726.92225,17771.35061,-0.012805234,0.815507355,728200,20800,1200,0.001478492
53:46.4,17715.80787,17727.42206,17712.57585,17714.61844,3710,17727.91402,107497,400200,320000,16300,19800,6163,720200,-8000,0.001650497,0.001649137,0.004465753,32.91031845,17722.82098,17764.25909,-0.01291247,0.7996002,720200,-8000,-3500,0.001490101
58:46.4,17705.75482,17720.33751,17695.72078,17718.35023,1340,17719.2028,70326,403900,321500,19050,18700,-37171,725400,5200,0.000210662,0.00021064,0.004476731,32.31791951,17721.33073,17758.52048,-0.012618692,0.795989106,725400,5200,350,0.001477175
03:46.4,17687.9627,17703.7598,17684.86798,17696.15413,3290,17700.59198,94223,400200,319100,17650,18500,23897,719300,-6100,-0.001252718,-0.001253504,0.004498,32.40108619,17712.93853,17750.72469,-0.013105009,0.797351324,719300,-6100,-850,0.001468772
08:46.4,17704.37615,17713.62879,17696.4503,17712.92203,2940,17712.46536,126351,405600,323800,17900,19350,32128,729400,10100,0.000947545,0.000947096,0.004512437,31.33491278,17712.93303,17745.99936,-0.010598369,0.798323471,729400,10100,-1450,0.001464977
13:46.4,17731.95445,17753.02348,17722.53122,17742.91396,3490,17755.51245,121787,405300,327900,16450,18150,-4564,733200,3800,0.001693223,0.001691791,0.004655952,31.96109406,17722.92667,17745.61368,-0.008264977,0.809030348,733200,3800,-1700,0.001475822
18:46.4,17756.91946,17761.14593,17736.16315,17757.7066,4110,17765.65226,94192,411700,324200,17900,17550,-27595,735900,2700,0.000833721,0.000833374,0.004694056,31.46264323,17734.51998,17747.1253,-0.007556222,0.787466602,735900,2700,350,0.001469586
23:46.4,17734.75799,17746.25051,17727.12533,17736.50766,4030,17735.66712,114316,403100,314900,18150,18100,20124,718000,-17900,-0.001193788,-0.001194501,0.004680381,31.39968775,17735.18254,17745.79809,-0.007373857,0.781195733,718000,-17900,50,0.00146191
28:46.4,17726.71145,17739.30189,17716.50357,17721.23698,3650,17713.60441,116950,395300,308700,18550,18350,2634,704000,-14000,-0.000860974,-0.000861345,0.004688898,30.78530401,17730.53402,17742.72795,-0.008313849,0.780925879,704000,-14000,200,0.00145122
33:46.4,17735.69931,17736.70564,17726.45281,17732.89643,580,17741.96283,115930,406800,317300,16750,16900,-1020,724100,20100,0.000657936,0.00065772,0.004715242,29.69125798,17731.32149,17741.49901,-0.007741456,0.779990167,724100,20100,-150,0.00144366
38:46.4,17761.84889,17769.28576,17752.60426,17767.31751,4350,17767.81952,77079,407800,317700,18950,19400,-38851,725500,1400,0.001941086,0.001939205,0.004856434,30.16969181,17743.32016,17744.72632,-0.00483286,0.779058362,725500,1400,-450,0.001458989
43:46.4,17749.26444,17770.91304,17738.03574,17759.94847,2960,17767.99053,132823,388200,321900,19050,19800,55744,710100,-15400,-0.000414752,-0.000414838,0.004839599,30.36309238,17748.86293,17746.62909,-0.004352601,0.829211747,710100,-15400,-750,0.001458946
48:46.4,17744.49961,17753.65537,17738.99882,17743.2624,3610,17748.37436,90723,399600,319800,18050,16850,-42100,719400,9300,-0.000939534,-0.000939975,0.004571722,29.69070403,17746.99609,17746.20826,-0.007899814,0.8003003,719400,9300,1200,0.001451061
53:46.4,17715.25414,17720.52877,17703.53566,17711.26653,4630,17705.06247,102186,398100,323300,17950,17050,11463,721400,2000,-0.001803269,-0.001804897,0.004644365,30.40756413,17735.08624,17741.84054,-0.009917877,0.812107511,721400,2000,900,0.001464197
58:46.4,17683.67282,17688.89324,17681.84269,17683.67749,3270,17682.93419,92974,400800,322900,17700,16250,-9212,723700,2300,-0.001557711,-0.001558926,0.004668731,30.33729779,17717.94999,17734.57016,-0.010231913,0.805638723,723700,2300,1450,0.00141029
03:46.4,17705.41567,17711.90839,17696.28831,17710.73798,2870,17712.39848,104595,412500,326200,17650,19550,11621,738700,15000,0.001530253,0.001529083,0.004772566,30.18684094,17715.54598,17731.59114,-0.009111467,0.790787879,738700,15000,-1900,0.001431169
08:46.4,17741.64894,17742.29011,17721.5511,17728.84076,2520,17728.79223,82714,405500,316400,17850,16300,-21881,721900,-16800,0.001022136,0.001021614,0.004755527,30.28436194,17719.97758,17731.24734,-0.006394366,0.78027127,721900,-16800,1550,0.001440232
13:46.4,17739.91007,17753.21698,17712.1276,17719.54305,2960,17723.7045,95497,401900,322200,19800,17400,12783,724100,2200,-0.00052444,-0.000524577,0.004739621,31.05614873,17719.83273,17729.7843,-0.007412399,0.801691963,724100,2200,2400,0.001429305
18:46.4,17766.81173,17773.73045,17757.01911,17761.92108,2840,17767.61226,103655,407100,317600,17800,17500,8158,724700,600,0.002391598,0.002388743,0.004579197,32.70838085,17733.86218,17733.8014,-0.001599192,0.780152297,724700,600,300,0.001470052
23:46.4,17776.62978,17788.63855,17762.72312,17765.77971,1300,17778.86968,124492,408900,309400,16700,19100,20837,718300,-6400,0.000217241,0.000217218,0.004474163,32.28045809,17744.50136,17737.79869,0.000335632,0.756664221,718300,-6400,-2400,0.001463045
28:46.4,17759.61362,17767.48282,17754.0852,17755.10143,4050,17761.16771,122078,405900,319800,18550,18800,-2414,725700,7400,-0.000601059,-0.000601239,0.004478653,30.93168449,17748.03472,17739.96153,-0.000742254,0.787878788,725700,7400,-250,0.001440792
33:46.4,17769.42129,17769.97782,17766.79563,17768.1083,620,17779.61014,123091,395100,310300,17700,16000,1013,705400,-20300,0.000732571,0.000732303,0.004373405,29.78487803,17754.72591,17743.47988,-0.00180154,0.785370792,705400,-20300,1700,0.001445303
38:46.4,17810.64175,17812.80684,17799.82267,17806.60543,3760,17807.6196,117373,389700,321500,18450,19000,-5718,711200,5800,0.002166642,0.002164298,0.004553819,30.85013946,17772.01908,17751.37057,0.000399988,0.824993585,711200,5800,-550,0.001475831
43:46.4,17809.86275,17825.41898,17807.98944,17822.79687,650,17832.59164,136933,400800,318600,16850,16600,19560,719400,8200,0.000909294,0.000908881,0.004580219,29.99038341,17788.94501,17760.29886,0.001507879,0.79491018,719400,8200,250,0.001483253
48:46.4,17851.88949,17866.91676,17838.22981,17854.80599,940,17856.33509,94197,398100,313700,19950,17800,-42736,711800,-7600,0.001795965,0.001794354,0.004685335,30.99963379,17810.89867,17772.11225,0.00342002,0.787992967,711800,-7600,2150,0.001483999
53:46.4,17782.05386,17786.50699,17775.1358,17784.72539,3700,17783.38966,96844,401900,313600,19400,19600,2647,715500,3700,-0.003925028,-0.003932751,0.004977758,34.47610243,17802.17424,17773.68889,0.002185649,0.780293605,715500,3700,-200,0.0015025
58:46.4,17804.16809,17811.77155,17793.73654,17809.70703,1880,17808.14364,96021,404300,323200,18450,19750,-823,727500,12000,0.001404669,0.001403683,0.005005957,33.94539272,17804.68517,17778.19116,0.004402474,0.799406381,727500,12000,-1300,0.001516657
03:46.4,17806.67101,17816.8745,17783.20113,17796.5316,3750,17785.98561,98777,398100,317900,19200,17450,2756,716000,-11500,-0.00073979,-0.000740063,0.00499353,33.92596289,17801.96731,17780.48371,0.004591039,0.79854308,716000,-11500,1750,0.001508623
08:46.4,17798.8643,17815.03356,17791.60098,17808.11181,1970,17816.23631,71275,404700,321800,16200,19600,-27502,726500,10500,0.0006507,0.000650489,0.004910525,33.17643554,17804.01548,17783.93723,0.003457014,0.795156906,726500,10500,-3400,0.00150757
13:46.4,17801.49234,17815.36673,17787.8674,17800.81798,4040,17797.48819,105295,395700,309300,16400,16400,34020,705000,-21500,-0.000409579,-0.000409663,0.004919646,32.77092776,17802.94965,17786.04732,0.002944383,0.781652767,705000,-21500,0,0.001507261
18:46.4,17748.67632,17768.21278,17745.99662,17754.62639,2850,17765.67765,109921,399800,313600,18800,17400,4626,713400,8400,-0.002594914,-0.002598286,0.004704015,34.3459588,17786.84189,17782.1197,0.003912696,0.784392196,713400,8400,1400,0.00148537
23:46.4,17743.00639,17757.46376,17728.64368,17733.4974,2400,17736.11724,94851,395600,316000,18250,18300,-15070,711600,-1800,-0.001190056,-0.001190764,0.004674186,33.95125355,17769.0604,17776.04192,0.001065728,0.798786653,711600,-1800,-50,0.001469887
28:46.4,17752.69083,17755.99883,17722.32565,17738.89913,1500,17734.17244,64853,402700,322100,17450,16000,-29998,724800,13200,0.000304606,0.00030456,0.004675677,33.93139106,17759.00664,17771.39907,0.001159753,0.799851006,724800,13200,1450,0.001471261
33:46.4,17792.2673,17801.70332,17791.95765,17799.54336,1540,17797.13474,100428,399600,317100,17000,18700,35575,716700,-8100,0.003418714,0.003412884,0.004988736,35.99373374,17772.51888,17774.91711,0.005842469,0.793543544,716700,-8100,-1700,0.001540944
38:46.4,17778.61866,17798.76873,17771.48766,17781.96468,2990,17786.53803,74105,392600,325900,17800,19000,-26323,718500,1800,-0.000987592,-0.00098808,0.005012494,35.42673114,17775.66748,17775.79805,0.003897869,0.830106979,718500,1800,-1200,0.001533176
43:46.4,17757.24845,17761.2864,17739.05887,17749.23948,4450,17742.77898,108546,398100,323500,16400,16100,34441,721600,3100,-0.001840359,-0.001842055,0.005046994,35.96095113,17766.85815,17772.47823,0.000356509,0.812609897,721600,3100,300,0.001547829
48:46.4,17744.06618,17753.29138,17726.68504,17736.3505,4950,17743.03682,102386,402400,325500,17250,16300,-6160,727900,6300,-0.00072617,-0.000726434,0.00503996,35.29276503,17756.68893,17767.96226,-0.001202638,0.80889662,727900,6300,950,0.001549349
53:46.4,17768.62504,17784.02531,17763.55046,17778.62375,1430,17774.09199,104347,410300,316600,18000,16500,1961,726900,-1000,0.002383424,0.002380588,0.005175074,36.17719653,17764.00054,17769.29495,0.002374542,0.771630514,726900,-1000,1500,0.001574489
58:46.4,17777.56716,17778.78768,17766.60538,17766.99473,2690,17766.60931,78779,391600,312100,17900,19600,-25568,703700,-23200,-0.000654101,-0.000654315,0.005163748,34.46327573,17764.9986,17769.00742,0.002582085,0.796986721,703700,-23200,-1700,0.001576035
03:46.4,17763.62363,17786.72746,17755.13437,17778.21354,3470,17782.82905,125231,399000,317600,17300,17100,46452,716600,12900,0.000631441,0.000631242,0.005162784,34.25826204,17769.40358,17770.15819,0.002555539,0.795989975,716600,12900,200,0.001578683
08:46.4,17777.48291,17779.32824,17765.17501,17769.47752,3880,17775.52418,103404,404200,314800,19650,19800,-21827,719000,2400,-0.000491389,-0.00049151,0.005054006,32.82218806,17769.42823,17770.0731,0.000121572,0.778822365,719000,2400,-150,0.001575179
13:46.4,17780.24959,17788.66113,17779.84127,17785.92497,4910,17793.73861,81715,403400,321100,18200,16150,-21689,724500,5500,0.000925601,0.000925173,0.005074379,31.84800373,17774.92714,17772.05459,0.001462645,0.795984135,724500,5500,2050,0.001576697
18:46.4,17806.28055,17816.03411,17803.20733,17803.35481,1820,17799.93721,111592,395500,313800,19150,18850,29877,709300,-15200,0.00097998,0.0009795,0.005066615,31.72379936,17784.40303,17775.96712,0.003386773,0.793426043,709300,-15200,300,0.001543246
23:46.4,17787.71687,17800.91719,17781.63947,17793.08153,4100,17794.99365,101954,396300,304300,19300,19700,-9638,700600,-8700,-0.000577042,-0.000577209,0.004957453,31.00890944,17787.29587,17778.10642,0.004619376,0.767852637,700600,-8700,-400,0.001544048
28:46.4,17779.15426,17795.14417,17769.06728,17774.31732,2040,17783.70038,136738,394800,317100,17600,18150,34784,711900,11300,-0.001054579,-0.001055135,0.004906954,30.65662211,17782.96968,17777.63278,0.005125621,0.803191489,711900,11300,-550,0.001541875
33:46.4,17768.878,17775.40985,17765.47625,17767.43167,770,17769.34232,88942,393600,315000,17700,16450,-47796,708600,-3300,-0.000387393,-0.000387468,0.004849793,29.17640626,17777.79035,17776.35764,0.003201092,0.800304878,708600,-3300,1250,0.00154103
38:46.4,17730.09055,17745.13597,17729.5263,17730.4533,3310,17735.56468,75049,400200,320000,17700,16150,-13893,720200,11600,-0.002081244,-0.002083413,0.004974387,29.79990376,17762.01133,17770.6196,9.10E-05,0.7996002,720200,11600,1550,0.001548263
43:46.4,17738.14504,17740.30077,17725.96089,17729.25657,1650,17733.6664,105786,395100,318200,17850,16950,30737,713300,-6900,-6.75E-05,-6.75E-05,0.004964894,28.69561659,17751.09308,17765.44922,0.000548181,0.80536573,713300,-6900,900,0.001546231
48:46.4,17745.26981,17751.86318,17732.15949,17751.84287,3540,17762.32305,120244,393100,314600,19200,18750,14458,707700,-5600,0.001273957,0.001273146,0.004824427,28.26068762,17751.34301,17763.74843,-0.000567405,0.800305266,707700,-5600,450,0.001492837
53:46.4,17745.58337,17755.0805,17738.74469,17741.02974,2830,17742.09823,146459,396800,318700,17950,19650,26215,715500,7800,-0.000609128,-0.000609313,0.004833836,27.40891111,17747.90525,17760.90859,-0.001393126,0.803175403,715500,7800,-1700,0.001478443
58:46.4,17739.51754,17750.79892,17720.70855,17737.48991,4540,17733.64115,168372,400600,322800,17200,19800,21913,723400,7900,-0.000199528,-0.000199547,0.00482374,27.60044397,17744.43347,17757.98126,-0.000991913,0.805791313,723400,7900,-2600,0.001477186
03:46.4,17702.07252,17703.05332,17685.45355,17693.2715,500,17691.6727,68959,399000,315300,16700,17450,-99413,714300,-9100,-0.002492935,-0.002496048,0.004999593,29.3458664,17727.37948,17749.89254,-0.004211861,0.790225564,714300,-9100,-750,0.001491238
08:46.4,17691.08351,17694.51773,17661.58918,17668.41828,3970,17672.95294,97295,397800,318500,17200,19000,28336,716300,2000,-0.00140467,-0.001405658,0.004858337,29.60177277,17707.72575,17739.70825,-0.007760443,0.800653595,716300,2000,-1800,0.001500692
13:46.4,17682.16818,17682.66258,17672.78185,17680.47929,2890,17675.69032,75115,400700,323700,19850,17650,-22180,724400,8100,0.000682631,0.000682398,0.004841693,28.50481029,17698.64359,17732.30463,-0.007985143,0.807836286,724400,8100,2200,0.001504248
18:46.4,17661.07859,17685.37123,17654.68005,17682.38328,1070,17683.0318,95052,392800,324700,18300,18450,19937,717500,-6900,0.000107689,0.000107683,0.004693296,28.66097947,17693.22349,17726.06447,-0.009656935,0.826629328,717500,-6900,-150,0.001504506
23:46.4,17656.98295,17671.78178,17653.0235,17663.90983,3840,17667.84225,149544,407500,321700,16350,19000,54492,729200,11700,-0.001044738,-0.001045284,0.004210076,28.71089372,17683.45227,17718.29514,-0.00679322,0.789447853,729200,11700,-2650,0.001470864
28:46.4,17667.86435,17667.90172,17666.29371,17667.69421,2320,17667.16457,83605,397900,331400,17600,16750,-65939,729300,100,0.000214244,0.000214221,0.004108444,26.94525088,17678.19958,17711.97002,-0.0079739,0.832872581,729300,100,850,0.001468192
