timestamp,total_call_oi,total_put_oi,max_call_strike,max_put_strike
2025-10-24 10:22:21.737199,394400,307800,18900,18750
2025-10-24 10:27:21.737199,389200,324200,17400,19100
2025-10-24 10:32:21.737199,392800,318100,16800,17800
2025-10-24 10:37:21.737199,388600,316500,17000,16800
2025-10-24 10:42:21.737199,398400,324200,16800,16800
2025-10-24 10:47:21.737199,400800,323700,16000,19350
2025-10-24 10:52:21.737199,401000,323400,19100,16650
2025-10-24 10:57:21.737199,404700,323300,18750,19350
2025-10-24 11:02:21.737199,381500,325900,17800,17900
2025-10-24 11:07:21.737199,401100,327100,17800,16600
2025-10-24 11:12:21.737199,400200,320000,16300,19800
2025-10-24 11:17:21.737199,403900,321500,19050,18700
2025-10-24 11:22:21.737199,400200,319100,17650,18500
2025-10-24 11:27:21.737199,405600,323800,17900,19350
2025-10-24 11:32:21.737199,405300,327900,16450,18150
2025-10-24 11:37:21.737199,411700,324200,17900,17550
2025-10-24 11:42:21.737199,403100,314900,18150,18100
2025-10-24 11:47:21.737199,395300,308700,18550,18350
2025-10-24 11:52:21.737199,406800,317300,16750,16900
2025-10-24 11:57:21.737199,407800,317700,18950,19400
2025-10-24 12:02:21.737199,388200,321900,19050,19800
2025-10-24 12:07:21.737199,399600,319800,18050,16850
2025-10-24 12:12:21.737199,398100,323300,17950,17050
2025-10-24 12:17:21.737199,400800,322900,17700,16250
2025-10-24 12:22:21.737199,412500,326200,17650,19550
2025-10-24 12:27:21.737199,405500,316400,17850,16300
2025-10-24 12:32:21.737199,401900,322200,19800,17400
2025-10-24 12:37:21.737199,407100,317600,17800,17500
2025-10-24 12:42:21.737199,408900,309400,16700,19100
2025-10-24 12:47:21.737199,405900,319800,18550,18800
2025-10-24 12:52:21.737199,395100,310300,17700,16000
2025-10-24 12:57:21.737199,389700,321500,18450,19000
2025-10-24 13:02:21.737199,400800,318600,16850,16600
2025-10-24 13:07:21.737199,398100,313700,19950,17800
2025-10-24 13:12:21.737199,401900,313600,19400,19600
2025-10-24 13:17:21.737199,404300,323200,18450,19750
2025-10-24 13:22:21.737199,398100,317900,19200,17450
2025-10-24 13:27:21.737199,404700,321800,16200,19600
2025-10-24 13:32:21.737199,395700,309300,16400,16400
2025-10-24 13:37:21.737199,399800,313600,18800,17400
2025-10-24 13:42:21.737199,395600,316000,18250,18300
2025-10-24 13:47:21.737199,402700,322100,17450,16000
2025-10-24 13:52:21.737199,399600,317100,17000,18700
2025-10-24 13:57:21.737199,392600,325900,17800,19000
2025-10-24 14:02:21.737199,398100,323500,16400,16100
2025-10-24 14:07:21.737199,402400,325500,17250,16300
2025-10-24 14:12:21.737199,410300,316600,18000,16500
2025-10-24 14:17:21.737199,391600,312100,17900,19600
2025-10-24 14:22:21.737199,399000,317600,17300,17100
2025-10-24 14:27:21.737199,404200,314800,19650,19800
2025-10-24 14:32:21.737199,403400,321100,18200,16150
2025-10-24 14:37:21.737199,395500,313800,19150,18850
2025-10-24 14:42:21.737199,396300,304300,19300,19700
2025-10-24 14:47:21.737199,394800,317100,17600,18150
2025-10-24 14:52:21.737199,393600,315000,17700,16450
2025-10-24 14:57:21.737199,400200,320000,17700,16150
2025-10-24 15:02:21.737199,395100,318200,17850,16950
2025-10-24 15:07:21.737199,393100,314600,19200,18750
2025-10-24 15:12:21.737199,396800,318700,17950,19650
2025-10-24 15:17:21.737199,400600,322800,17200,19800
2025-10-24 15:22:21.737199,399000,315300,16700,17450
2025-10-24 15:27:21.737199,397800,318500,17200,19000
2025-10-24 15:32:21.737199,400700,323700,19850,17650
2025-10-24 15:37:21.737199,392800,324700,18300,18450
2025-10-24 15:42:21.737199,407500,321700,16350,19000
2025-10-24 15:47:21.737199,397900,331400,17600,16750
2025-10-24 15:52:21.737199,391900,319700,17300,16700
2025-10-24 15:57:21.737199,399200,315400,16950,17100
2025-10-24 16:02:21.737199,409500,313100,19350,17950
2025-10-24 16:07:21.737199,395100,317300,17200,18950
2025-10-24 16:12:21.737199,396200,325200,16400,16500
2025-10-24 16:17:21.737199,402700,325100,16850,19400
2025-10-24 16:22:21.737199,395400,316700,19400,16850
2025-10-24 16:27:21.737199,401700,320000,16900,16950
2025-10-24 16:32:21.737199,412700,325800,18400,17300
2025-10-24 16:37:21.737199,400300,325900,19400,18150
2025-10-24 16:42:21.737199,396000,322400,19450,18250
2025-10-24 16:47:21.737199,400500,314900,17500,16050
2025-10-24 16:52:21.737199,397400,314500,19350,17500
2025-10-24 16:57:21.737199,417000,324600,16850,17350
2025-10-24 17:02:21.737199,400900,323000,17550,16650
2025-10-24 17:07:21.737199,407400,316000,19500,19600
2025-10-24 17:12:21.737199,394300,323000,16100,17900
2025-10-24 17:17:21.737199,396500,322800,16250,18500
2025-10-24 17:22:21.737199,406000,316400,16300,16050
2025-10-24 17:27:21.737199,415200,303400,18100,19500
2025-10-24 17:32:21.737199,402800,330200,16500,19100
2025-10-24 17:37:21.737199,394800,321700,16850,19450
2025-10-24 17:42:21.737199,407200,324400,18550,16300
2025-10-24 17:47:21.737199,406600,324500,18950,19700
2025-10-24 17:52:21.737199,410300,321900,19900,17500
2025-10-24 17:57:21.737199,399200,317100,16400,19450
2025-10-24 18:02:21.737199,402100,318200,18400,17950
2025-10-24 18:07:21.737199,403700,332500,19100,16200
2025-10-24 18:12:21.737199,395100,312700,17100,16500
2025-10-24 18:17:21.737199,396500,315600,19550,17550
2025-10-24 18:22:21.737199,403400,317700,18950,16300
2025-10-24 18:27:21.737199,396100,316400,16850,18700
2025-10-24 18:32:21.737199,404600,329200,19450,16150
2025-10-24 18:37:21.737199,400200,311900,17100,16450
2025-10-24 18:42:21.737199,397700,312000,18700,19000
2025-10-24 18:47:21.737199,389100,323700,16150,17250
2025-10-24 18:52:21.737199,403200,310600,17600,19450
2025-10-24 18:57:21.737199,404600,326100,18750,16300
2025-10-24 19:02:21.737199,379900,319700,19650,18200
2025-10-24 19:07:21.737199,399300,327400,18850,16750
2025-10-24 19:12:21.737199,404800,320500,16300,17550
2025-10-24 19:17:21.737199,406900,320000,18350,18850
2025-10-24 19:22:21.737199,412000,312100,19400,18450
2025-10-24 19:27:21.737199,413900,313400,17550,16950
2025-10-24 19:32:21.737199,404300,320400,17350,17900
2025-10-24 19:37:21.737199,391500,322200,19150,19600
2025-10-24 19:42:21.737199,387700,330600,16250,18750
2025-10-24 19:47:21.737199,394300,334100,16550,16250
2025-10-24 19:52:21.737199,402400,321700,16600,18700
2025-10-24 19:57:21.737199,394300,328000,18250,18150
2025-10-24 20:02:21.737199,393500,317900,17750,16000
2025-10-24 20:07:21.737199,399200,326300,17000,19300
2025-10-24 20:12:21.737199,394900,325600,16600,19350
2025-10-24 20:17:21.737199,399200,329000,17750,17750
2025-10-24 20:22:21.737199,404200,313600,17250,17500
2025-10-24 20:27:21.737199,403000,317800,16650,17400
2025-10-24 20:32:21.737199,387800,325100,19250,17300
2025-10-24 20:37:21.737199,391500,317500,18200,16900
2025-10-24 20:42:21.737199,396100,333400,18500,18000
2025-10-24 20:47:21.737199,402400,314500,16400,16750
2025-10-24 20:52:21.737199,404100,315200,17450,19550
2025-10-24 20:57:21.737199,391300,325800,16850,19450
2025-10-24 21:02:21.737199,403100,317700,16650,17600
2025-10-24 21:07:21.737199,400100,324600,19650,19050
2025-10-24 21:12:21.737199,403000,325900,16250,19750
2025-10-24 21:17:21.737199,399700,318000,17050,19150
2025-10-24 21:22:21.737199,391400,324800,17000,18800
2025-10-24 21:27:21.737199,390800,306600,18450,17950
2025-10-24 21:32:21.737199,407700,319100,19400,18450
2025-10-24 21:37:21.737199,410100,317700,17500,18750
2025-10-24 21:42:21.737199,401100,319100,16900,16900
2025-10-24 21:47:21.737199,402100,319800,18300,17500
2025-10-24 21:52:21.737199,390600,322300,17400,16900
2025-10-24 21:57:21.737199,402600,315900,19650,19400
2025-10-24 22:02:21.737199,394600,320700,16100,19800
2025-10-24 22:07:21.737199,390400,316500,18900,19150
2025-10-24 22:12:21.737199,416100,313500,18100,18750
2025-10-24 22:17:21.737199,399600,327500,17000,17200
2025-10-24 22:22:21.737199,400600,314700,17400,17500
2025-10-24 22:27:21.737199,401600,312700,16500,19750
2025-10-24 22:32:21.737199,404700,319700,17100,18350
2025-10-24 22:37:21.737199,406900,316400,19400,18050
2025-10-24 22:42:21.737199,398300,322800,18950,19850
2025-10-24 22:47:21.737199,404200,322600,19050,17050
2025-10-24 22:52:21.737199,410200,309100,17000,19000
2025-10-24 22:57:21.737199,406600,307000,16300,16250
2025-10-24 23:02:21.737199,403400,319800,19800,18500
2025-10-24 23:07:21.737199,399100,313500,17350,17600
2025-10-24 23:12:21.737199,392600,322900,17750,17700
2025-10-24 23:17:21.737199,404100,316600,18600,17700
2025-10-24 23:22:21.737199,407100,311500,17000,16450
2025-10-24 23:27:21.737199,398000,329200,17950,16200
2025-10-24 23:32:21.737199,400300,310800,17600,18050
2025-10-24 23:37:21.737199,407300,309100,18700,16300
2025-10-24 23:42:21.737199,392200,321400,19400,19650
2025-10-24 23:47:21.737199,402600,317100,19600,17900
2025-10-24 23:52:21.737199,385700,318600,19850,17250
2025-10-24 23:57:21.737199,394400,323800,16300,16850
2025-10-25 00:02:21.737199,404700,320800,18800,16550
2025-10-25 00:07:21.737199,412300,313900,17200,18150
2025-10-25 00:12:21.737199,400000,322600,19450,16250
2025-10-25 00:17:21.737199,406000,321200,18150,16450
2025-10-25 00:22:21.737199,400700,315700,18950,19500
2025-10-25 00:27:21.737199,391200,321400,16700,16800
2025-10-25 00:32:21.737199,401200,325800,19250,19300
2025-10-25 00:37:21.737199,395600,320200,16850,17100
2025-10-25 00:42:21.737199,407100,320100,18800,17700
2025-10-25 00:47:21.737199,404500,322000,18150,17300
2025-10-25 00:52:21.737199,403100,317300,19450,16900
2025-10-25 00:57:21.737199,408200,313600,19500,19500
2025-10-25 01:02:21.737199,403000,316600,17150,17500
2025-10-25 01:07:21.737199,401500,308000,16400,16300
2025-10-25 01:12:21.737199,394500,321200,16050,17750
2025-10-25 01:17:21.737199,397600,325100,17550,16800
2025-10-25 01:22:21.737199,406500,311500,19250,17100
2025-10-25 01:27:21.737199,414900,323200,16600,16350
2025-10-25 01:32:21.737199,396900,319600,16600,18500
2025-10-25 01:37:21.737199,405900,323700,17050,19950
2025-10-25 01:42:21.737199,398300,329000,19250,16400
2025-10-25 01:47:21.737199,390600,324600,17850,16750
2025-10-25 01:52:21.737199,390700,319200,19150,16950
2025-10-25 01:57:21.737199,387900,325400,18050,16400
2025-10-25 02:02:21.737199,397600,315700,17800,17350
2025-10-25 02:07:21.737199,393200,327200,16200,17000
2025-10-25 02:12:21.737199,392500,321900,18450,16850
2025-10-25 02:17:21.737199,404000,314300,19150,17700
2025-10-25 02:22:21.737199,401300,326700,16300,18300
2025-10-25 02:27:21.737199,397800,317400,17950,18700
2025-10-25 02:32:21.737199,399800,318200,18850,16550
2025-10-25 02:37:21.737199,392900,320900,18250,18900
2025-10-25 02:42:21.737199,397000,319200,16350,16700
2025-10-25 02:47:21.737199,397400,324300,18400,16800
2025-10-25 02:52:21.737199,398900,321500,18850,17000
2025-10-25 02:57:21.737199,409300,324000,17050,17150
2025-10-25 03:02:21.737199,393000,318800,16750,19200
2025-10-25 03:07:21.737199,402000,321700,16800,16400
2025-10-25 03:12:21.737199,395600,334000,19850,18400
2025-10-25 03:17:21.737199,394500,315700,18700,16750
2025-10-25 03:22:21.737199,398800,322700,19900,18900
2025-10-25 03:27:21.737199,403100,319300,16500,17700
2025-10-25 03:32:21.737199,398800,309000,19200,18600
2025-10-25 03:37:21.737199,401600,323500,17850,17700
2025-10-25 03:42:21.737199,400200,313400,16600,18850
2025-10-25 03:47:21.737199,400300,318800,19550,17950
2025-10-25 03:52:21.737199,407300,316700,16650,18100
2025-10-25 03:57:21.737199,391300,320300,18700,17700
2025-10-25 04:02:21.737199,399000,318100,17900,16850
2025-10-25 04:07:21.737199,403300,322000,18300,16450
2025-10-25 04:12:21.737199,408300,321000,16400,16750
2025-10-25 04:17:21.737199,400200,328800,18250,18150
2025-10-25 04:22:21.737199,398300,320900,19400,18500
2025-10-25 04:27:21.737199,392600,320100,18100,16700
2025-10-25 04:32:21.737199,398800,311400,17300,18650
2025-10-25 04:37:21.737199,396300,319200,19800,19900
2025-10-25 04:42:21.737199,404800,319600,19150,16000
2025-10-25 04:47:21.737199,403700,318500,19350,16350
2025-10-25 04:52:21.737199,411000,322800,18650,16200
2025-10-25 04:57:21.737199,402200,320500,18300,16750
2025-10-25 05:02:21.737199,402500,325900,17800,19500
2025-10-25 05:07:21.737199,400000,321000,17400,16150
2025-10-25 05:12:21.737199,391900,321200,18550,16550
2025-10-25 05:17:21.737199,406800,326900,19400,17500
2025-10-25 05:22:21.737199,396900,322300,19000,17600
2025-10-25 05:27:21.737199,400600,312100,19900,19800
2025-10-25 05:32:21.737199,398100,327600,19050,17650
2025-10-25 05:37:21.737199,413700,323600,19600,16500
2025-10-25 05:42:21.737199,401100,316400,17300,19850
2025-10-25 05:47:21.737199,407900,324600,16400,18000
2025-10-25 05:52:21.737199,400300,313600,16800,18850
2025-10-25 05:57:21.737199,392500,329800,18100,16900
2025-10-25 06:02:21.737199,392400,323500,18250,17500
2025-10-25 06:07:21.737199,407200,320800,19800,19350
2025-10-25 06:12:21.737199,403300,316200,17050,18200
2025-10-25 06:17:21.737199,396800,322700,19350,18950
2025-10-25 06:22:21.737199,400200,324900,17200,17600
2025-10-25 06:27:21.737199,401700,316700,16050,19350
2025-10-25 06:32:21.737199,390000,317500,17400,18800
2025-10-25 06:37:21.737199,407500,321100,17700,17900
2025-10-25 06:42:21.737199,390400,326300,17600,16200
2025-10-25 06:47:21.737199,400000,326900,18950,16400
2025-10-25 06:52:21.737199,396200,324200,18750,16600
2025-10-25 06:57:21.737199,408400,326200,18050,16650
2025-10-25 07:02:21.737199,398100,323900,19950,17250
2025-10-25 07:07:21.737199,405400,326200,18650,18250
2025-10-25 07:12:21.737199,393800,322200,16350,16750
2025-10-25 07:17:21.737199,397000,326000,17500,18450
2025-10-25 07:22:21.737199,416800,321600,16050,18450
2025-10-25 07:27:21.737199,399100,317500,19550,16400
2025-10-25 07:32:21.737199,403400,314200,16900,17000
2025-10-25 07:37:21.737199,407000,318700,18600,18900
2025-10-25 07:42:21.737199,396700,318600,17250,17500
2025-10-25 07:47:21.737199,408400,311900,16200,16700
2025-10-25 07:52:21.737199,400200,319700,16550,16200
2025-10-25 07:57:21.737199,405500,325700,18350,18650
2025-10-25 08:02:21.737199,395800,326000,17250,17600
2025-10-25 08:07:21.737199,397800,313100,19300,18900
2025-10-25 08:12:21.737199,395300,322900,16700,17100
2025-10-25 08:17:21.737199,399200,320900,17750,18850
2025-10-25 08:22:21.737199,405000,325300,16500,17950
2025-10-25 08:27:21.737199,391900,326600,18300,17450
2025-10-25 08:32:21.737199,407200,322600,16550,19200
2025-10-25 08:37:21.737199,401700,328300,16100,17850
2025-10-25 08:42:21.737199,406200,315200,16050,19350
2025-10-25 08:47:21.737199,404400,319600,18450,16650
2025-10-25 08:52:21.737199,409500,327500,18900,17350
2025-10-25 08:57:21.737199,389100,323200,19550,17800
2025-10-25 09:02:21.737199,400600,323600,16800,19100
2025-10-25 09:07:21.737199,391300,324200,18250,17100
2025-10-25 09:12:21.737199,405300,315200,18350,19750
2025-10-25 09:17:21.737199,395600,335700,17750,19100
2025-10-25 09:22:21.737199,397200,325600,17050,18600
2025-10-25 09:27:21.737199,399900,318200,18600,18750
2025-10-25 09:32:21.737199,407500,319200,19700,16600
2025-10-25 09:37:21.737199,406500,316000,18050,16600
2025-10-25 09:42:21.737199,397300,320400,17800,17200
2025-10-25 09:47:21.737199,409900,321300,19800,17700
2025-10-25 09:52:21.737199,395600,320500,19350,18150
2025-10-25 09:57:21.737199,392600,318100,19800,19150
2025-10-25 10:02:21.737199,401000,309800,17800,16600
2025-10-25 10:07:21.737199,403100,316800,19000,19550
2025-10-25 10:12:21.737199,408800,326800,17100,17750
2025-10-25 10:17:21.737199,399800,319900,16150,16750
2025-10-25 10:22:21.737199,406300,316400,19250,18200
2025-10-25 10:27:21.737199,410500,329500,16300,16000
2025-10-25 10:32:21.737199,393800,321500,18900,18300
2025-10-25 10:37:21.737199,386100,316100,18100,18950
2025-10-25 10:42:21.737199,398500,320600,16300,19650
2025-10-25 10:47:21.737199,401000,314900,16150,17600
2025-10-25 10:52:21.737199,404200,321000,18700,16050
2025-10-25 10:57:21.737199,407100,310200,16950,16200
2025-10-25 11:02:21.737199,395400,313400,16850,18050
2025-10-25 11:07:21.737199,401400,319300,17900,16650
2025-10-25 11:12:21.737199,403400,323000,19600,19700
2025-10-25 11:17:21.737199,396800,313900,16700,17700
2025-10-25 11:22:21.737199,400500,316800,17600,19950
2025-10-25 11:27:21.737199,406200,325100,17350,18600
2025-10-25 11:32:21.737199,394800,329300,17550,16750
2025-10-25 11:37:21.737199,391200,316700,16350,19100
2025-10-25 11:42:21.737199,397700,332000,17850,17550
2025-10-25 11:47:21.737199,406900,320700,19700,19000
2025-10-25 11:52:21.737199,403900,328200,18050,19850
2025-10-25 11:57:21.737199,404300,324500,17650,18400
2025-10-25 12:02:21.737199,399400,312900,18150,16950
2025-10-25 12:07:21.737199,399200,328400,16250,19400
2025-10-25 12:12:21.737199,398700,320700,18350,19800
2025-10-25 12:17:21.737199,395300,317300,16100,16500
2025-10-25 12:22:21.737199,405200,318800,17850,19300
2025-10-25 12:27:21.737199,397800,319600,18000,18000
2025-10-25 12:32:21.737199,399900,321900,19600,19850
2025-10-25 12:37:21.737199,395400,326100,19000,16550
2025-10-25 12:42:21.737199,395200,317500,19750,16650
2025-10-25 12:47:21.737199,399400,309500,18250,16950
2025-10-25 12:52:21.737199,393500,325600,18600,17250
2025-10-25 12:57:21.737199,396300,318100,18950,16100
2025-10-25 13:02:21.737199,400400,304600,19800,18450
2025-10-25 13:07:21.737199,394000,329300,18600,18500
2025-10-25 13:12:21.737199,410100,311000,19900,17400
2025-10-25 13:17:21.737199,400600,330000,17100,18650
2025-10-25 13:22:21.737199,394100,321800,18300,17650
2025-10-25 13:27:21.737199,387000,323000,16950,17050
2025-10-25 13:32:21.737199,405600,324900,16300,18650
2025-10-25 13:37:21.737199,399600,326400,16000,16650
2025-10-25 13:42:21.737199,398400,317600,16950,17200
2025-10-25 13:47:21.737199,394900,317300,19100,19400
2025-10-25 13:52:21.737199,403400,314500,17650,18050
2025-10-25 13:57:21.737199,408300,315800,16400,18000
2025-10-25 14:02:21.737199,397400,313400,16650,19650
2025-10-25 14:07:21.737199,400400,321700,17600,17700
2025-10-25 14:12:21.737199,389100,317500,16100,17250
2025-10-25 14:17:21.737199,392400,320600,17100,17000
2025-10-25 14:22:21.737199,407000,317800,17050,18550
2025-10-25 14:27:21.737199,399300,322000,16650,19450
2025-10-25 14:32:21.737199,400600,323700,16400,18650
2025-10-25 14:37:21.737199,404300,331300,16750,19950
2025-10-25 14:42:21.737199,395000,322400,16250,16300
2025-10-25 14:47:21.737199,390900,316800,18600,17150
2025-10-25 14:52:21.737199,394900,325500,18650,16900
2025-10-25 14:57:21.737199,402600,318600,17800,17600
2025-10-25 15:02:21.737199,406800,321100,17050,17300
2025-10-25 15:07:21.737199,395300,325300,18250,16400
2025-10-25 15:12:21.737199,391600,323600,16500,16750
2025-10-25 15:17:21.737199,402000,319300,16350,19000
2025-10-25 15:22:21.737199,396400,321400,17750,16300
2025-10-25 15:27:21.737199,391300,318000,19250,16050
2025-10-25 15:32:21.737199,395300,315300,18500,19300
2025-10-25 15:37:21.737199,399200,324000,19400,19950
2025-10-25 15:42:21.737199,406100,316200,19800,18550
2025-10-25 15:47:21.737199,392800,319400,19900,18700
2025-10-25 15:52:21.737199,406900,314600,17200,16150
2025-10-25 15:57:21.737199,408400,324300,19350,18000
2025-10-25 16:02:21.737199,408600,316200,18300,19550
2025-10-25 16:07:21.737199,401700,320700,17800,16000
2025-10-25 16:12:21.737199,396400,328900,16700,19150
2025-10-25 16:17:21.737199,397500,319500,17650,19900
2025-10-25 16:22:21.737199,405200,315300,17700,17200
2025-10-25 16:27:21.737199,399300,316200,18600,17700
2025-10-25 16:32:21.737199,402700,325400,17150,16850
2025-10-25 16:37:21.737199,395500,314900,19300,17150
2025-10-25 16:42:21.737199,400800,322400,18050,18000
2025-10-25 16:47:21.737199,406000,314600,16000,18000
2025-10-25 16:52:21.737199,396800,313200,17450,19750
2025-10-25 16:57:21.737199,398700,316200,16000,19800
2025-10-25 17:02:21.737199,395100,320000,16400,17150
2025-10-25 17:07:21.737199,402000,318000,18450,17650
2025-10-25 17:12:21.737199,396300,310800,17150,17450
2025-10-25 17:17:21.737199,408100,321400,19750,16850
2025-10-25 17:22:21.737199,398800,329500,17200,16100
2025-10-25 17:27:21.737199,403300,326300,18950,17500
2025-10-25 17:32:21.737199,410000,320100,17450,16550
2025-10-25 17:37:21.737199,403800,321000,16850,16350
2025-10-25 17:42:21.737199,389500,327700,18550,16850
2025-10-25 17:47:21.737199,396000,323700,19350,18950
2025-10-25 17:52:21.737199,399300,326300,18250,19100
2025-10-25 17:57:21.737199,398700,314600,16550,18900
2025-10-25 18:02:21.737199,404300,309900,17750,19750
2025-10-25 18:07:21.737199,391000,313000,18250,18400
2025-10-25 18:12:21.737199,409700,315800,17750,16400
2025-10-25 18:17:21.737199,390900,331100,16400,17300
2025-10-25 18:22:21.737199,398400,308600,18000,16650
2025-10-25 18:27:21.737199,392700,321600,17950,16250
2025-10-25 18:32:21.737199,395100,325000,17350,19450
2025-10-25 18:37:21.737199,404100,331100,17250,17950
2025-10-25 18:42:21.737199,405100,327900,19700,16000
2025-10-25 18:47:21.737199,397200,325300,18700,19200
2025-10-25 18:52:21.737199,402300,312100,16700,19250
2025-10-25 18:57:21.737199,401400,317100,17650,18150
2025-10-25 19:02:21.737199,404200,312200,17200,17500
2025-10-25 19:07:21.737199,393100,333200,19200,16900
2025-10-25 19:12:21.737199,404100,320300,19550,18800
2025-10-25 19:17:21.737199,387200,311100,18000,17350
2025-10-25 19:22:21.737199,405400,325700,17950,16350
2025-10-25 19:27:21.737199,404200,324000,17000,18200
2025-10-25 19:32:21.737199,404200,309800,16200,18600
2025-10-25 19:37:21.737199,404700,320400,19400,16700
2025-10-25 19:42:21.737199,405200,334000,17400,19800
2025-10-25 19:47:21.737199,399700,312900,16650,18900
2025-10-25 19:52:21.737199,398200,306200,16850,16250
2025-10-25 19:57:21.737199,396900,320300,19900,18450
2025-10-25 20:02:21.737199,400300,319500,19900,16050
2025-10-25 20:07:21.737199,411200,318400,16700,17800
2025-10-25 20:12:21.737199,406900,321300,16050,19450
2025-10-25 20:17:21.737199,391400,325100,18200,18950
2025-10-25 20:22:21.737199,400300,320600,17550,18200
2025-10-25 20:27:21.737199,406400,315200,18900,18850
2025-10-25 20:32:21.737199,408000,325800,16600,16100
2025-10-25 20:37:21.737199,398900,320700,18400,17100
2025-10-25 20:42:21.737199,404700,314400,19100,17050
2025-10-25 20:47:21.737199,399200,317100,18900,16200
2025-10-25 20:52:21.737199,393600,325900,17100,19300
2025-10-25 20:57:21.737199,389100,328300,16250,18600
2025-10-25 21:02:21.737199,395100,315800,19550,17550
2025-10-25 21:07:21.737199,393500,318500,16450,17100
2025-10-25 21:12:21.737199,403700,322200,16100,18100
2025-10-25 21:17:21.737199,402000,313100,19900,17850
2025-10-25 21:22:21.737199,401500,328800,19150,16650
2025-10-25 21:27:21.737199,401300,315500,18650,17250
2025-10-25 21:32:21.737199,404800,327300,18000,19900
2025-10-25 21:37:21.737199,407400,318800,16850,18700
2025-10-25 21:42:21.737199,402000,325900,17000,18150
2025-10-25 21:47:21.737199,399500,321300,16050,19050
2025-10-25 21:52:21.737199,399000,323600,17900,18950
2025-10-25 21:57:21.737199,395200,314700,17200,17100
2025-10-25 22:02:21.737199,394800,317600,19800,19000
2025-10-25 22:07:21.737199,396800,322700,16550,17650
2025-10-25 22:12:21.737199,399700,320700,16350,17150
2025-10-25 22:17:21.737199,392700,320600,16750,16500
2025-10-25 22:22:21.737199,394800,330300,16100,16500
2025-10-25 22:27:21.737199,406400,325300,16250,17100
2025-10-25 22:32:21.737199,409300,329200,19650,18950
2025-10-25 22:37:21.737199,409500,322900,17300,19550
2025-10-25 22:42:21.737199,395900,313300,19750,16500
2025-10-25 22:47:21.737199,397700,322600,19650,16800
2025-10-25 22:52:21.737199,409200,325200,18100,17700
2025-10-25 22:57:21.737199,404400,311900,19300,16550
2025-10-25 23:02:21.737199,404800,318000,16950,19700
2025-10-25 23:07:21.737199,408400,310500,18750,17250
2025-10-25 23:12:21.737199,397400,316800,19700,19950
2025-10-25 23:17:21.737199,403800,322100,18800,19700
2025-10-25 23:22:21.737199,407700,314800,16200,18700
2025-10-25 23:27:21.737199,399500,319200,18450,17550
2025-10-25 23:32:21.737199,398500,323200,19500,18050
2025-10-25 23:37:21.737199,398100,307600,16200,16050
2025-10-25 23:42:21.737199,392300,316400,17450,18550
2025-10-25 23:47:21.737199,407600,326200,16900,16500
2025-10-25 23:52:21.737199,397500,321000,19800,19050
2025-10-25 23:57:21.737199,399700,322100,17100,17450
2025-10-26 00:02:21.737199,397200,320200,17600,18500
2025-10-26 00:07:21.737199,387900,312700,19500,18550
2025-10-26 00:12:21.737199,399100,334100,19250,18300
2025-10-26 00:17:21.737199,388400,323600,18550,18050
2025-10-26 00:22:21.737199,394000,316000,18650,16000
