time,open,high,low,close,volume,fut_close,fut_oi,total_call_oi,total_put_oi,max_call_strike,max_put_strike,fut_oi_change,total_opt_oi,total_opt_oi_change
32:21.7,17949.12301,17978.02619,17944.65948,17973.88975,2240,17970.40519,85119,394400,326600,19050,19700,-9000,721000,400
37:21.7,17911.31796,17916.57758,17906.15545,17914.8323,1720,17929.27786,114051,409800,310300,19000,16050,28932,720100,-900
42:21.7,17950.91833,17960.07057,17932.81361,17946.35015,2760,17941.59318,127408,397000,316000,19500,16700,13357,713000,-7100
47:21.7,17945.01947,17946.87106,17943.13038,17944.79001,4390,17953.42555,109393,403800,315600,18550,18200,-18015,719400,6400
52:21.7,17947.01673,17960.13775,17927.08269,17931.14191,4930,17934.59296,98298,402000,331300,16300,16650,-11095,733300,13900
57:21.7,17908.8818,17912.89908,17887.37816,17902.66103,3500,17907.44785,97349,398000,319700,18600,16450,-949,717700,-15600
02:21.7,17894.44278,17903.0499,17883.88557,17890.78084,4770,17889.49774,101421,396800,320800,17600,19100,4072,717600,-100
07:21.7,17897.59935,17899.72033,17881.47267,17892.90939,1320,17898.23496,76801,413900,330200,16950,19000,-24620,744100,26500
12:21.7,17866.90465,17874.96541,17858.90539,17868.2657,3020,17866.94032,112045,397500,315600,16050,16600,35244,713100,-31000
17:21.7,17877.1551,17879.65136,17857.86173,17869.80383,1950,17878.32469,78383,399300,315800,17600,18350,-33662,715100,2000
22:21.7,17861.2344,17879.74287,17849.29722,17871.24589,1690,17880.21108,122323,402400,322800,17200,18650,43940,725200,10100
27:21.7,17853.59963,17856.44485,17839.77523,17853.60147,1140,17856.44986,92735,400800,313000,17400,16200,-29588,713800,-11400
32:21.7,17837.67133,17846.51611,17834.73243,17837.58838,3300,17840.78471,116616,396300,321400,17650,17700,23881,717700,3900
37:21.7,17887.47961,17893.13993,17873.62585,17884.547,3320,17890.44563,70534,390200,321100,17250,16800,-46082,711300,-6400
42:21.7,17887.29634,17890.37773,17886.09826,17888.68431,4400,17894.30999,116475,400700,321400,16200,18750,45941,722100,10800
47:21.7,17859.11805,17869.14117,17858.26874,17866.48581,4770,17875.54848,127250,397600,313700,18400,16700,10775,711300,-10800
52:21.7,17881.34535,17891.97789,17870.61633,17873.59262,1550,17882.50714,74368,394400,319900,19950,17100,-52882,714300,3000
57:21.7,17848.80831,17858.2145,17840.16587,17842.93501,4620,17846.34922,97729,392700,323100,16150,16400,23361,715800,1500
02:21.7,17854.57968,17859.68615,17838.05265,17851.86823,3490,17852.8828,106697,390700,322500,18750,18600,8968,713200,-2600
07:21.7,17802.35113,17808.62405,17788.02071,17790.3713,1560,17798.26108,107677,399700,316400,16150,16550,980,716100,2900
12:21.7,17767.09686,17780.75607,17759.46078,17759.81894,850,17762.53823,93208,407900,320700,16750,17250,-14469,728600,12500
17:21.7,17772.52184,17773.8095,17761.66812,17768.29002,1960,17772.44998,89683,405700,311300,17450,16450,-3525,717000,-11600
22:21.7,17792.39729,17804.14497,17791.56529,17800.17603,3110,17806.56798,105065,394400,307800,18900,18750,15382,702200,-14800
27:21.7,17797.14943,17800.49277,17795.7016,17799.48585,4580,17808.25507,107051,389200,324200,17400,19100,1986,713400,11200
32:21.7,17794.24032,17799.19372,17786.48921,17795.96271,2080,17800.91452,87451,392800,318100,16800,17800,-19600,710900,-2500
37:21.7,17786.38313,17811.81062,17785.74146,17793.95033,3140,17794.37455,83499,388600,316500,17000,16800,-3952,705100,-5800
42:21.7,17747.15797,17750.604,17739.38864,17745.93899,2510,17759.05507,124227,398400,324200,16800,16800,40728,722600,17500
47:21.7,17728.18281,17734.35349,17718.04815,17731.64393,4700,17743.3309,102153,400800,323700,16000,19350,-22074,724500,1900
52:21.7,17716.11477,17721.72778,17714.42562,17715.20043,2040,17713.33323,54565,401000,323400,19100,16650,-47588,724400,-100
57:21.7,17744.40665,17752.95639,17742.33904,17746.761,620,17745.45605,124350,404700,323300,18750,19350,69785,728000,3600
02:21.7,17753.7325,17768.63387,17742.18712,17748.55942,3460,17747.92395,88057,381500,325900,17800,17900,-36293,707400,-20600
07:21.7,17707.02078,17723.94551,17680.23044,17685.42868,4330,17693.46787,101334,401100,327100,17800,16600,13277,728200,20800
12:21.7,17715.80787,17727.42206,17712.57585,17714.61844,3710,17727.91402,107497,400200,320000,16300,19800,6163,720200,-8000
17:21.7,17705.75482,17720.33751,17695.72078,17718.35023,1340,17719.2028,70326,403900,321500,19050,18700,-37171,725400,5200
22:21.7,17687.9627,17703.7598,17684.86798,17696.15413,3290,17700.59198,94223,400200,319100,17650,18500,23897,719300,-6100
27:21.7,17704.37615,17713.62879,17696.4503,17712.92203,2940,17712.46536,126351,405600,323800,17900,19350,32128,729400,10100
32:21.7,17731.95445,17753.02348,17722.53122,17742.91396,3490,17755.51245,121787,405300,327900,16450,18150,-4564,733200,3800
37:21.7,17756.91946,17761.14593,17736.16315,17757.7066,4110,17765.65226,94192,411700,324200,17900,17550,-27595,735900,2700
42:21.7,17734.75799,17746.25051,17727.12533,17736.50766,4030,17735.66712,114316,403100,314900,18150,18100,20124,718000,-17900
47:21.7,17726.71145,17739.30189,17716.50357,17721.23698,3650,17713.60441,116950,395300,308700,18550,18350,2634,704000,-14000
52:21.7,17735.69931,17736.70564,17726.45281,17732.89643,580,17741.96283,115930,406800,317300,16750,16900,-1020,724100,20100
57:21.7,17761.84889,17769.28576,17752.60426,17767.31751,4350,17767.81952,77079,407800,317700,18950,19400,-38851,725500,1400
02:21.7,17749.26444,17770.91304,17738.03574,17759.94847,2960,17767.99053,132823,388200,321900,19050,19800,55744,710100,-15400
07:21.7,17744.49961,17753.65537,17738.99882,17743.2624,3610,17748.37436,90723,399600,319800,18050,16850,-42100,719400,9300
12:21.7,17715.25414,17720.52877,17703.53566,17711.26653,4630,17705.06247,102186,398100,323300,17950,17050,11463,721400,2000
17:21.7,17683.67282,17688.89324,17681.84269,17683.67749,3270,17682.93419,92974,400800,322900,17700,16250,-9212,723700,2300
22:21.7,17705.41567,17711.90839,17696.28831,17710.73798,2870,17712.39848,104595,412500,326200,17650,19550,11621,738700,15000
27:21.7,17741.64894,17742.29011,17721.5511,17728.84076,2520,17728.79223,82714,405500,316400,17850,16300,-21881,721900,-16800
32:21.7,17739.91007,17753.21698,17712.1276,17719.54305,2960,17723.7045,95497,401900,322200,19800,17400,12783,724100,2200
37:21.7,17766.81173,17773.73045,17757.01911,17761.92108,2840,17767.61226,103655,407100,317600,17800,17500,8158,724700,600
42:21.7,17776.62978,17788.63855,17762.72312,17765.77971,1300,17778.86968,124492,408900,309400,16700,19100,20837,718300,-6400
47:21.7,17759.61362,17767.48282,17754.0852,17755.10143,4050,17761.16771,122078,405900,319800,18550,18800,-2414,725700,7400
52:21.7,17769.42129,17769.97782,17766.79563,17768.1083,620,17779.61014,123091,395100,310300,17700,16000,1013,705400,-20300
57:21.7,17810.64175,17812.80684,17799.82267,17806.60543,3760,17807.6196,117373,389700,321500,18450,19000,-5718,711200,5800
02:21.7,17809.86275,17825.41898,17807.98944,17822.79687,650,17832.59164,136933,400800,318600,16850,16600,19560,719400,8200
07:21.7,17851.88949,17866.91676,17838.22981,17854.80599,940,17856.33509,94197,398100,313700,19950,17800,-42736,711800,-7600
12:21.7,17782.05386,17786.50699,17775.1358,17784.72539,3700,17783.38966,96844,401900,313600,19400,19600,2647,715500,3700
17:21.7,17804.16809,17811.77155,17793.73654,17809.70703,1880,17808.14364,96021,404300,323200,18450,19750,-823,727500,12000
22:21.7,17806.67101,17816.8745,17783.20113,17796.5316,3750,17785.98561,98777,398100,317900,19200,17450,2756,716000,-11500
27:21.7,17798.8643,17815.03356,17791.60098,17808.11181,1970,17816.23631,71275,404700,321800,16200,19600,-27502,726500,10500
32:21.7,17801.49234,17815.36673,17787.8674,17800.81798,4040,17797.48819,105295,395700,309300,16400,16400,34020,705000,-21500
37:21.7,17748.67632,17768.21278,17745.99662,17754.62639,2850,17765.67765,109921,399800,313600,18800,17400,4626,713400,8400
42:21.7,17743.00639,17757.46376,17728.64368,17733.4974,2400,17736.11724,94851,395600,316000,18250,18300,-15070,711600,-1800
47:21.7,17752.69083,17755.99883,17722.32565,17738.89913,1500,17734.17244,64853,402700,322100,17450,16000,-29998,724800,13200
52:21.7,17792.2673,17801.70332,17791.95765,17799.54336,1540,17797.13474,100428,399600,317100,17000,18700,35575,716700,-8100
57:21.7,17778.61866,17798.76873,17771.48766,17781.96468,2990,17786.53803,74105,392600,325900,17800,19000,-26323,718500,1800
02:21.7,17757.24845,17761.2864,17739.05887,17749.23948,4450,17742.77898,108546,398100,323500,16400,16100,34441,721600,3100
07:21.7,17744.06618,17753.29138,17726.68504,17736.3505,4950,17743.03682,102386,402400,325500,17250,16300,-6160,727900,6300
12:21.7,17768.62504,17784.02531,17763.55046,17778.62375,1430,17774.09199,104347,410300,316600,18000,16500,1961,726900,-1000
17:21.7,17777.56716,17778.78768,17766.60538,17766.99473,2690,17766.60931,78779,391600,312100,17900,19600,-25568,703700,-23200
22:21.7,17763.62363,17786.72746,17755.13437,17778.21354,3470,17782.82905,125231,399000,317600,17300,17100,46452,716600,12900
27:21.7,17777.48291,17779.32824,17765.17501,17769.47752,3880,17775.52418,103404,404200,314800,19650,19800,-21827,719000,2400
32:21.7,17780.24959,17788.66113,17779.84127,17785.92497,4910,17793.73861,81715,403400,321100,18200,16150,-21689,724500,5500
37:21.7,17806.28055,17816.03411,17803.20733,17803.35481,1820,17799.93721,111592,395500,313800,19150,18850,29877,709300,-15200
42:21.7,17787.71687,17800.91719,17781.63947,17793.08153,4100,17794.99365,101954,396300,304300,19300,19700,-9638,700600,-8700
47:21.7,17779.15426,17795.14417,17769.06728,17774.31732,2040,17783.70038,136738,394800,317100,17600,18150,34784,711900,11300
52:21.7,17768.878,17775.40985,17765.47625,17767.43167,770,17769.34232,88942,393600,315000,17700,16450,-47796,708600,-3300
57:21.7,17730.09055,17745.13597,17729.5263,17730.4533,3310,17735.56468,75049,400200,320000,17700,16150,-13893,720200,11600
02:21.7,17738.14504,17740.30077,17725.96089,17729.25657,1650,17733.6664,105786,395100,318200,17850,16950,30737,713300,-6900
07:21.7,17745.26981,17751.86318,17732.15949,17751.84287,3540,17762.32305,120244,393100,314600,19200,18750,14458,707700,-5600
12:21.7,17745.58337,17755.0805,17738.74469,17741.02974,2830,17742.09823,146459,396800,318700,17950,19650,26215,715500,7800
17:21.7,17739.51754,17750.79892,17720.70855,17737.48991,4540,17733.64115,168372,400600,322800,17200,19800,21913,723400,7900
22:21.7,17702.07252,17703.05332,17685.45355,17693.2715,500,17691.6727,68959,399000,315300,16700,17450,-99413,714300,-9100
27:21.7,17691.08351,17694.51773,17661.58918,17668.41828,3970,17672.95294,97295,397800,318500,17200,19000,28336,716300,2000
32:21.7,17682.16818,17682.66258,17672.78185,17680.47929,2890,17675.69032,75115,400700,323700,19850,17650,-22180,724400,8100
37:21.7,17661.07859,17685.37123,17654.68005,17682.38328,1070,17683.0318,95052,392800,324700,18300,18450,19937,717500,-6900
42:21.7,17656.98295,17671.78178,17653.0235,17663.90983,3840,17667.84225,149544,407500,321700,16350,19000,54492,729200,11700
47:21.7,17667.86435,17667.90172,17666.29371,17667.69421,2320,17667.16457,83605,397900,331400,17600,16750,-65939,729300,100
52:21.7,17718.09963,17723.58237,17707.63896,17715.77067,3860,17721.05096,99560,391900,319700,17300,16700,15955,711600,-17700
57:21.7,17722.91725,17737.63475,17722.09865,17723.11633,750,17730.5126,88382,399200,315400,16950,17100,-11178,714600,3000
02:21.7,17729.94268,17738.1741,17716.07235,17734.79288,4580,17740.76015,79934,409500,313100,19350,17950,-8448,722600,8000
07:21.7,17728.14019,17730.90271,17716.40279,17717.67339,1260,17712.99146,135855,395100,317300,17200,18950,55921,712400,-10200
12:21.7,17677.36596,17700.64774,17669.66283,17687.21509,4660,17691.17269,69214,396200,325200,16400,16500,-66641,721400,9000
17:21.7,17676.83969,17706.42235,17665.78107,17683.16253,2660,17687.53439,98349,402700,325100,16850,19400,29135,727800,6400
22:21.7,17678.61357,17688.39604,17665.06717,17684.96183,3770,17686.47781,101759,395400,316700,19400,16850,3410,712100,-15700
27:21.7,17744.23189,17748.96358,17730.21894,17748.1221,3740,17753.33993,99339,401700,320000,16900,16950,-2420,721700,9600
32:21.7,17739.29008,17744.03005,17733.86399,17739.46407,3110,17744.48837,93685,412700,325800,18400,17300,-5654,738500,16800
37:21.7,17747.49322,17755.62577,17737.41311,17753.46402,720,17756.53071,132286,400300,325900,19400,18150,38601,726200,-12300
42:21.7,17746.74664,17752.53417,17745.38016,17751.99803,2930,17750.20008,57762,396000,322400,19450,18250,-74524,718400,-7800
47:21.7,17715.8407,17725.83049,17711.27031,17712.70464,2070,17716.10572,108729,400500,314900,17500,16050,50967,715400,-3000
52:21.7,17746.41331,17747.17739,17737.43461,17741.32362,2550,17754.80843,109619,397400,314500,19350,17500,890,711900,-3500
57:21.7,17766.61844,17774.15875,17758.7656,17767.52326,3590,17768.98567,105739,417000,324600,16850,17350,-3880,741600,29700
02:21.7,17787.88977,17810.47998,17786.71135,17801.66667,1360,17810.82014,83383,400900,323000,17550,16650,-22356,723900,-17700
07:21.7,17763.81983,17765.74836,17749.42793,17752.81419,3160,17756.5717,124100,407400,316000,19500,19600,40717,723400,-500
12:21.7,17801.41567,17806.10222,17776.60895,17788.35366,4640,17787.63823,123099,394300,323000,16100,17900,-1001,717300,-6100
17:21.7,17764.20024,17769.90442,17761.20269,17765.66366,1830,17767.63602,82678,396500,322800,16250,18500,-40421,719300,2000
22:21.7,17780.02249,17786.252,17777.68169,17780.47489,3160,17783.94099,76042,406000,316400,16300,16050,-6636,722400,3100
27:21.7,17838.71649,17841.01337,17837.31592,17840.26258,3820,17847.33738,72177,415200,303400,18100,19500,-3865,718600,-3800
32:21.7,17812.40944,17814.69641,17801.6315,17814.58214,3170,17830.86491,104508,402800,330200,16500,19100,32331,733000,14400
37:21.7,17797.46315,17801.733,17781.31707,17795.47694,4990,17799.32787,100935,394800,321700,16850,19450,-3573,716500,-16500
42:21.7,17800.30167,17815.95444,17792.49878,17813.56167,1020,17810.54659,92777,407200,324400,18550,16300,-8158,731600,15100
47:21.7,17787.04158,17803.37329,17764.23603,17772.80391,1480,17767.53653,141626,406600,324500,18950,19700,48849,731100,-500
52:21.7,17745.89455,17749.73453,17735.83426,17738.54334,2960,17739.84649,90778,410300,321900,19900,17500,-50848,732200,1100
57:21.7,17747.89719,17754.94149,17731.63702,17746.98091,850,17744.52426,103749,399200,317100,16400,19450,12971,716300,-15900
02:21.7,17719.81642,17722.45114,17687.96946,17705.25791,4500,17711.76233,96113,402100,318200,18400,17950,-7636,720300,4000
07:21.7,17732.58617,17734.77068,17730.48533,17731.02699,770,17737.57997,139262,403700,332500,19100,16200,43149,736200,15900
12:21.7,17708.32445,17731.77617,17701.69446,17723.03538,2690,17725.80385,60206,395100,312700,17100,16500,-79056,707800,-28400
17:21.7,17749.71996,17756.22405,17746.0209,17749.90532,4550,17756.95587,93801,396500,315600,19550,17550,33595,712100,4300
22:21.7,17729.0557,17744.77856,17718.70973,17731.10076,1510,17734.99145,112285,403400,317700,18950,16300,18484,721100,9000
27:21.7,17720.67021,17722.09345,17709.30062,17709.50473,3120,17722.96877,95552,396100,316400,16850,18700,-16733,712500,-8600
32:21.7,17742.48494,17746.78016,17725.67799,17737.01705,3200,17743.89613,73913,404600,329200,19450,16150,-21639,733800,21300
37:21.7,17709.93437,17718.49045,17697.02389,17706.61202,2730,17714.91084,103531,400200,311900,17100,16450,29618,712100,-21700
42:21.7,17716.15501,17717.70853,17703.80751,17713.34067,1880,17709.18798,67573,397700,312000,18700,19000,-35958,709700,-2400
47:21.7,17751.10291,17766.84339,17745.12266,17762.47821,3290,17759.78949,113404,389100,323700,16150,17250,45831,712800,3100
52:21.7,17708.52966,17713.54987,17700.05137,17713.4676,3350,17719.55486,91734,403200,310600,17600,19450,-21670,713800,1000
57:21.7,17713.61186,17716.33074,17679.75617,17703.7679,2990,17699.08052,88370,404600,326100,18750,16300,-3364,730700,16900
02:21.7,17720.69561,17738.94913,17719.37138,17722.87973,3710,17723.10405,120923,379900,319700,19650,18200,32553,699600,-31100
07:21.7,17741.66688,17749.12891,17728.97422,17746.08653,3660,17755.91473,79935,399300,327400,18850,16750,-40988,726700,27100
12:21.7,17708.95614,17721.5176,17704.73651,17719.05157,1270,17719.16219,69150,404800,320500,16300,17550,-10785,725300,-1400
17:21.7,17674.09173,17692.56254,17671.45105,17688.05904,3460,17685.17731,81790,406900,320000,18350,18850,12640,726900,1600
22:21.7,17688.1113,17695.59655,17675.96702,17679.13375,3870,17686.21005,140940,412000,312100,19400,18450,59150,724100,-2800
27:21.7,17696.16966,17701.34497,17684.11065,17688.99512,3560,17703.53653,79926,413900,313400,17550,16950,-61014,727300,3200
32:21.7,17702.99708,17707.23482,17682.16038,17691.86564,4770,17691.11208,107310,404300,320400,17350,17900,27384,724700,-2600
37:21.7,17712.37636,17715.55994,17690.00861,17710.30383,4000,17720.34925,116867,391500,322200,19150,19600,9557,713700,-11000
42:21.7,17694.49523,17719.40892,17677.97333,17698.62122,620,17697.20617,81205,387700,330600,16250,18750,-35662,718300,4600
47:21.7,17700.83773,17715.91647,17690.55296,17709.57605,3950,17712.52044,81230,394300,334100,16550,16250,25,728400,10100
52:21.7,17708.79797,17712.48694,17694.11731,17708.12547,4450,17711.29983,103603,402400,321700,16600,18700,22373,724100,-4300
57:21.7,17690.00957,17690.5679,17683.64781,17687.18052,1310,17686.56864,104506,394300,328000,18250,18150,903,722300,-1800
02:21.7,17739.76467,17744.6217,17738.61879,17741.11074,580,17749.31811,126952,393500,317900,17750,16000,22446,711400,-10900
07:21.7,17752.5552,17754.89455,17744.58084,17745.14224,2620,17740.4945,84615,399200,326300,17000,19300,-42337,725500,14100
12:21.7,17721.03772,17750.94176,17715.192,17739.55211,970,17744.13804,92454,394900,325600,16600,19350,7839,720500,-5000
17:21.7,17738.67592,17760.19641,17715.69792,17724.41703,980,17733.67359,156767,399200,329000,17750,17750,64313,728200,7700
22:21.7,17712.93765,17735.71552,17711.82274,17714.5738,3580,17722.32657,64147,404200,313600,17250,17500,-92620,717800,-10400
27:21.7,17734.03971,17756.38448,17729.81412,17751.98307,4890,17758.14948,60046,403000,317800,16650,17400,-4101,720800,3000
32:21.7,17765.06403,17774.87126,17753.47597,17765.12443,890,17777.12636,72339,387800,325100,19250,17300,12293,712900,-7900
37:21.7,17743.3857,17757.27565,17733.77279,17741.69974,4120,17744.07916,122032,391500,317500,18200,16900,49693,709000,-3900
42:21.7,17769.22226,17795.9439,17751.46608,17766.0465,3290,17761.4732,91234,396100,333400,18500,18000,-30798,729500,20500
47:21.7,17780.40566,17785.48357,17778.69329,17778.80195,2750,17783.07885,91227,402400,314500,16400,16750,-7,716900,-12600
52:21.7,17802.52206,17816.91248,17791.87022,17814.74214,1570,17817.63296,80695,404100,315200,17450,19550,-10532,719300,2400
57:21.7,17853.42426,17863.15624,17831.31165,17833.67961,2940,17825.92649,118368,391300,325800,16850,19450,37673,717100,-2200
02:21.7,17847.03242,17869.51726,17834.80629,17860.71604,3040,17858.25964,72648,403100,317700,16650,17600,-45720,720800,3700
07:21.7,17827.04416,17835.68799,17803.66931,17814.35168,820,17811.22014,88369,400100,324600,19650,19050,15721,724700,3900
12:21.7,17803.45193,17804.43589,17800.79098,17801.07827,720,17800.28861,81487,403000,325900,16250,19750,-6882,728900,4200
17:21.7,17781.85672,17787.42524,17777.26624,17778.04033,3820,17779.72299,46554,399700,318000,17050,19150,-34933,717700,-11200
22:21.7,17779.97812,17789.60386,17763.26605,17785.21035,1030,17787.09803,90435,391400,324800,17000,18800,43881,716200,-1500
27:21.7,17789.25685,17814.64769,17770.41389,17775.04213,3580,17774.44415,98816,390800,306600,18450,17950,8381,697400,-18800
32:21.7,17796.81953,17808.55852,17793.90258,17800.93214,980,17797.79594,84489,407700,319100,19400,18450,-14327,726800,29400
37:21.7,17819.09327,17847.17174,17806.3881,17837.12896,1270,17842.71618,94634,410100,317700,17500,18750,10145,727800,1000
42:21.7,17819.619,17821.90294,17803.96643,17807.47338,3850,17811.65763,95147,401100,319100,16900,16900,513,720200,-7600
47:21.7,17858.6921,17865.19093,17851.28678,17860.38606,4820,17864.74402,97339,402100,319800,18300,17500,2192,721900,1700
52:21.7,17851.78239,17858.90386,17840.23742,17845.87361,4070,17858.96719,78919,390600,322300,17400,16900,-18420,712900,-9000
57:21.7,17924.95025,17945.43506,17922.34035,17928.76725,1710,17933.22904,77770,402600,315900,19650,19400,-1149,718500,5600
02:21.7,17941.96014,17942.54003,17938.69854,17942.13192,4930,17943.74676,100938,394600,320700,16100,19800,23168,715300,-3200
07:21.7,17919.08553,17924.08797,17911.68978,17913.3381,4080,17916.35216,70478,390400,316500,18900,19150,-30460,706900,-8400
12:21.7,17890.50342,17911.47979,17868.24922,17894.86756,1390,17898.97704,95717,416100,313500,18100,18750,25239,729600,22700
17:21.7,17903.63465,17924.10342,17901.6493,17919.78684,3950,17926.68127,132709,399600,327500,17000,17200,36992,727100,-2500
22:21.7,17897.81344,17900.71699,17887.43109,17896.10506,2420,17899.44418,99223,400600,314700,17400,17500,-33486,715300,-11800
27:21.7,17917.17145,17939.78534,17911.51498,17923.61946,4650,17916.75693,63468,401600,312700,16500,19750,-35755,714300,-1000
32:21.7,17930.07388,17951.51786,17918.00905,17918.47964,4260,17919.71558,103596,404700,319700,17100,18350,40128,724400,10100
37:21.7,17928.29453,17935.86721,17912.94768,17919.7209,2930,17923.31287,116369,406900,316400,19400,18050,12773,723300,-1100
42:21.7,17905.71569,17909.99487,17902.48871,17909.94508,1980,17920.53452,84093,398300,322800,18950,19850,-32276,721100,-2200
47:21.7,17865.2539,17889.04598,17863.31978,17878.51096,1950,17877.87146,94020,404200,322600,19050,17050,9927,726800,5700
52:21.7,17853.47079,17868.90744,17845.08643,17856.64525,3650,17851.4565,82446,410200,309100,17000,19000,-11574,719300,-7500
57:21.7,17876.59882,17881.24587,17861.89174,17873.80062,4270,17877.72058,90756,406600,307000,16300,16250,8310,713600,-5700
02:21.7,17882.51947,17899.22906,17874.20732,17882.51314,1900,17890.73679,86689,403400,319800,19800,18500,-4067,723200,9600
07:21.7,17849.31374,17853.05947,17832.75907,17838.15428,4570,17839.61653,108713,399100,313500,17350,17600,22024,712600,-10600
12:21.7,17854.12963,17861.99598,17849.68584,17859.52617,3350,17875.86612,133165,392600,322900,17750,17700,24452,715500,2900
17:21.7,17864.63052,17872.58825,17859.83018,17872.51179,4350,17887.60065,101144,404100,316600,18600,17700,-32021,720700,5200
22:21.7,17841.13994,17855.1531,17831.37864,17837.10704,3880,17840.28665,69165,407100,311500,17000,16450,-31979,718600,-2100
27:21.7,17845.43281,17857.52821,17826.12495,17841.23876,1600,17845.80637,150588,398000,329200,17950,16200,81423,727200,8600
32:21.7,17847.16949,17854.99384,17838.18695,17849.54208,1570,17860.44136,111657,400300,310800,17600,18050,-38931,711100,-16100
37:21.7,17816.7757,17821.26983,17807.81124,17812.88523,4160,17815.96774,115729,407300,309100,18700,16300,4072,716400,5300
42:21.7,17826.51845,17840.45018,17822.73969,17825.929,3300,17825.19409,98725,392200,321400,19400,19650,-17004,713600,-2800
47:21.7,17841.69843,17870.96256,17818.16629,17860.42973,990,17868.76483,104654,402600,317100,19600,17900,5929,719700,6100
52:21.7,17870.88591,17883.70905,17865.98158,17868.67862,630,17874.74189,93163,385700,318600,19850,17250,-11491,704300,-15400
57:21.7,17899.3358,17902.44404,17892.67194,17896.12878,1830,17895.3735,118073,394400,323800,16300,16850,24910,718200,13900
02:21.7,17862.56357,17875.54318,17837.09046,17856.78019,1250,17861.84704,90451,404700,320800,18800,16550,-27622,725500,7300
07:21.7,17837.63167,17844.96697,17825.23662,17844.26898,1330,17846.98099,109787,412300,313900,17200,18150,19336,726200,700
12:21.7,17851.59603,17868.03643,17837.97247,17849.97845,3920,17851.48627,119388,400000,322600,19450,16250,9601,722600,-3600
17:21.7,17865.53783,17873.50647,17850.77655,17859.73713,2070,17859.09861,124918,406000,321200,18150,16450,5530,727200,4600
22:21.7,17879.52436,17896.61349,17876.56215,17891.33651,3350,17895.56639,120638,400700,315700,18950,19500,-4280,716400,-10800
32:21.7,17998.91721,17999.14409,17986.55707,17993.51372,3630,17998.64928,131454,401200,325800,19250,19300,10816,727000,10600
37:21.7,18029.78206,18043.6931,18011.53384,18012.9554,1430,18020.9883,113285,395600,320200,16850,17100,-18169,715800,-11200
42:21.7,18055.78175,18066.36145,18052.99852,18064.87747,3460,18069.74541,106111,407100,320100,18800,17700,-7174,727200,11400
47:21.7,18073.61317,18093.46002,18062.00259,18067.42631,1430,18072.38772,108417,404500,322000,18150,17300,2306,726500,-700
52:21.7,18065.24876,18076.84491,18063.98732,18072.39019,1060,18073.07056,96832,403100,317300,19450,16900,-11585,720400,-6100
57:21.7,18086.00779,18086.52792,18067.5296,18068.19213,2130,18078.17131,90667,408200,313600,19500,19500,-6165,721800,1400
02:21.7,18065.2346,18083.01459,18056.48407,18073.29709,3690,18072.31103,92629,403000,316600,17150,17500,1962,719600,-2200
07:21.7,18058.99905,18060.90128,18039.33493,18048.06278,1470,18042.94439,125762,401500,308000,16400,16300,33133,709500,-10100
